iter	Logloss
0	0.677694874
1	0.6638644593
2	0.6508954539
3	0.6383726682
4	0.6279003291
5	0.6170714571
6	0.6080527621
7	0.5983969723
8	0.5899964095
9	0.5802866688
10	0.5726106428
11	0.5651807227
12	0.5571298568
13	0.549509591
14	0.5425070262
15	0.5368430364
16	0.530465361
17	0.5244168917
18	0.5197850821
19	0.5147403801
20	0.5092875604
21	0.505037512
22	0.5000159662
23	0.4950782367
24	0.4914568468
25	0.4877640815
26	0.4842791338
27	0.4802132262
28	0.476504357
29	0.4734288913
30	0.4703458754
31	0.467991782
32	0.4652626901
33	0.4625426229
34	0.4601798629
35	0.4583202994
36	0.4563356064
37	0.4543996932
38	0.4521264319
39	0.4502920534
40	0.4479747242
41	0.4462332384
42	0.4442385912
43	0.4422916962
44	0.4400930337
45	0.4381448075
46	0.4365645249
47	0.4349953283
48	0.4333812555
49	0.4322011909
50	0.4308705515
51	0.4294362648
52	0.4283686243
53	0.4271820518
54	0.4259947555
55	0.4248628154
56	0.4240462304
57	0.4227399441
58	0.4217633514
59	0.420694986
60	0.4196660299
61	0.4188897604
62	0.4180473568
63	0.4170897659
64	0.4161009064
65	0.4152639851
66	0.4146943017
67	0.4138675299
68	0.412820262
69	0.4118795104
70	0.4113023336
71	0.4105340954
72	0.4099868853
73	0.4094183302
74	0.408648852
75	0.408015368
76	0.4074242393
77	0.4068835218
78	0.4062930784
79	0.4056964661
80	0.405188
81	0.4047343046
82	0.4041837106
83	0.403591168
84	0.4030147317
85	0.4025664439
86	0.4020442203
87	0.4016144119
88	0.4012362935
89	0.4007292732
90	0.4003170479
91	0.3998296002
92	0.3994394726
93	0.3989380134
94	0.3986094009
95	0.398225572
96	0.3978186147
97	0.3973754715
98	0.3970099707
99	0.3967224389
100	0.3962830786
101	0.3957349594
102	0.3954023139
103	0.3949983361
104	0.394546959
105	0.3942638643
106	0.3937382381
107	0.3934130335
108	0.3929385476
109	0.3927443574
110	0.3923979356
111	0.3921267786
112	0.3918253105
113	0.3915157865
114	0.3912735425
115	0.3910186491
116	0.3907834644
117	0.3905028179
118	0.3901928078
119	0.3899705766
120	0.3896405777
121	0.3893625061
122	0.3889604565
123	0.3887079097
124	0.3883926469
125	0.3879642865
126	0.387714816
127	0.3874038244
128	0.3871855839
129	0.3868298939
130	0.3865700169
131	0.3863136858
132	0.3860297341
133	0.3857688315
134	0.3855442022
135	0.3851937761
136	0.3849348945
137	0.3847361502
138	0.3844647023
139	0.3841532745
140	0.3839068542
141	0.3836587243
142	0.3835041014
143	0.3833057479
144	0.3831125452
145	0.3829485668
146	0.3827288938
147	0.3826230745
148	0.3823380603
149	0.3821138694
150	0.3818806741
151	0.3816962597
152	0.3814763675
153	0.3812049384
154	0.3809640492
155	0.3807154505
156	0.3804941277
157	0.3803306823
158	0.3802066243
159	0.3799348586
160	0.3797495738
161	0.3795493628
162	0.3793661369
163	0.3791826776
164	0.3790652449
165	0.3787568232
166	0.3785522904
167	0.3783186158
168	0.3781575869
169	0.3779251323
170	0.377801383
171	0.3775852064
172	0.3773783686
173	0.3771706894
174	0.3770504691
175	0.3768935738
176	0.3767478304
177	0.3765512268
178	0.3764449342
179	0.3762746412
180	0.3760559725
181	0.3757937767
182	0.3755713547
183	0.3753377374
184	0.3751740907
185	0.3749454847
186	0.3748084758
187	0.3745895091
188	0.3743856796
189	0.3741149151
190	0.374000328
191	0.3737375115
192	0.3735890962
193	0.3734259083
194	0.3732189519
195	0.3730556694
196	0.3729325833
197	0.3727748819
198	0.3725880166
199	0.3723866781
200	0.3722577088
201	0.3721222472
202	0.3719738176
203	0.3718705492
204	0.3716408237
205	0.3715108979
206	0.3714002237
207	0.3713140015
208	0.371066891
209	0.3709039922
210	0.3707158545
211	0.3705510441
212	0.3704287935
213	0.3702525296
214	0.3700581171
215	0.3699334708
216	0.3696963764
217	0.3695361332
218	0.3694446016
219	0.3692951988
220	0.369129952
221	0.3689735159
222	0.3688112915
223	0.3686262032
224	0.3684528332
225	0.3682314445
226	0.368083644
227	0.3679661043
228	0.3677863961
229	0.3676462174
230	0.3675353709
231	0.3674042183
232	0.3671187144
233	0.3670429516
234	0.3668654653
235	0.3667487415
236	0.3664665267
237	0.3662571393
238	0.3660567933
239	0.3658421593
240	0.3656726569
241	0.3655365655
242	0.3653605729
243	0.3651485159
244	0.364986596
245	0.3648699154
246	0.3647353162
247	0.3646085862
248	0.3644713012
249	0.364344993
250	0.3641403691
251	0.3640291171
252	0.3637106442
253	0.3634495875
254	0.3633310889
255	0.3631998333
256	0.3630791931
257	0.3629958301
258	0.3628952039
259	0.3627136436
260	0.3624512053
261	0.3623093891
262	0.3622180116
263	0.3620356098
264	0.3618592724
265	0.3617602392
266	0.3615641183
267	0.3614339629
268	0.3612505365
269	0.3610749196
270	0.3608673268
271	0.360788633
272	0.3607305305
273	0.3605434867
274	0.3603408789
275	0.360209116
276	0.3600183822
277	0.3598516421
278	0.3596994889
279	0.3595008151
280	0.3594488448
281	0.3592496354
282	0.3590854995
283	0.3589213745
284	0.3587271224
285	0.3585977589
286	0.3584969153
287	0.3583651811
288	0.358178893
289	0.3580136368
290	0.3577780621
291	0.3575988312
292	0.3574811136
293	0.3573151664
294	0.357207969
295	0.3570754669
296	0.3569617529
297	0.3567865106
298	0.3566941429
299	0.3565666123
300	0.3563695395
301	0.3561905076
302	0.3560688208
303	0.3559537363
304	0.3557380597
305	0.3555911116
306	0.3553279426
307	0.3551979017
308	0.3549672335
309	0.3547321581
310	0.3546795447
311	0.3546165775
312	0.3545308832
313	0.3544334396
314	0.3542444967
315	0.3540899246
316	0.3539658261
317	0.3538503516
318	0.3536828247
319	0.3535774054
320	0.3535133813
321	0.3534314973
322	0.353321234
323	0.3531863462
324	0.3530415959
325	0.3529419278
326	0.3527359803
327	0.3525870852
328	0.3524220759
329	0.3523270486
330	0.3521881353
331	0.3520783298
332	0.3519731484
333	0.3518510436
334	0.3516182501
335	0.3514308979
336	0.3512962156
337	0.3512340314
338	0.3511080849
339	0.3509412582
340	0.3508660748
341	0.3507964687
342	0.3506693664
343	0.350569759
344	0.350414233
345	0.3503164562
346	0.3501675918
347	0.3499699246
348	0.3498458559
349	0.3497290933
350	0.3496253403
351	0.3494303487
352	0.3493233858
353	0.3491439856
354	0.3490324383
355	0.3488678173
356	0.3487249189
357	0.3486763843
358	0.3486106246
359	0.3484262331
360	0.3482417359
361	0.3480699225
362	0.3477628765
363	0.347697225
364	0.3475381699
365	0.3474310671
366	0.3473234673
367	0.3470482224
368	0.3469016858
369	0.3466959378
370	0.3465138604
371	0.3462767995
372	0.3461482268
373	0.3460166337
374	0.3458929093
375	0.3457154818
376	0.3455383364
377	0.3454644291
378	0.3453082458
379	0.3452177865
380	0.3450555938
381	0.3449290432
382	0.3447012892
383	0.3445621297
384	0.3444569644
385	0.3443297822
386	0.3441856652
387	0.3440934442
388	0.3440066056
389	0.3438886916
390	0.3438003212
391	0.3436835523
392	0.3435565625
393	0.3434590252
394	0.3433145234
395	0.3430920242
396	0.342893601
397	0.3427827975
398	0.3426127668
399	0.3424207159
400	0.3422600111
401	0.3420818179
402	0.341943339
403	0.3417100371
404	0.3415405479
405	0.3413082486
406	0.3411033189
407	0.3409858899
408	0.3408439714
409	0.3407114044
410	0.3406376766
411	0.3405747445
412	0.3404635264
413	0.3403139079
414	0.3401522599
415	0.340015805
416	0.3398494218
417	0.3397642783
418	0.3396668828
419	0.3394818656
420	0.3393305616
421	0.3392476315
422	0.3391368112
423	0.3390376738
424	0.3389113391
425	0.3388024277
426	0.3386729759
427	0.3385340407
428	0.3383981779
429	0.338259448
430	0.3380754353
431	0.337963568
432	0.3378696256
433	0.3376721006
434	0.3375345295
435	0.3374658384
436	0.3372326613
437	0.3370207041
438	0.3368711768
439	0.3367278141
440	0.3364852521
441	0.336343645
442	0.3362499072
443	0.3361704216
444	0.3360810164
445	0.3359854068
446	0.3358507826
447	0.3356769213
448	0.3355026226
449	0.3353828399
450	0.3352278642
451	0.3349804556
452	0.3347823902
453	0.3345460337
454	0.3343923832
455	0.3342810131
456	0.3341324522
457	0.3339746986
458	0.3338635467
459	0.3336894931
460	0.3334505044
461	0.3332919075
462	0.3331208607
463	0.3329824996
464	0.3328707906
465	0.3327662216
466	0.3326179887
467	0.3324969172
468	0.3324281235
469	0.332248409
470	0.3320600209
471	0.3318702568
472	0.3317344529
473	0.3316057256
474	0.3315006091
475	0.3313983489
476	0.331337603
477	0.3311428973
478	0.3310256283
479	0.3309338521
480	0.3308522608
481	0.3306964195
482	0.3306189644
483	0.3304917375
484	0.330363524
485	0.3302924944
486	0.3301609111
487	0.3299708564
488	0.3298205869
489	0.3296758767
490	0.3294526265
491	0.3293054848
492	0.3291696
493	0.3290046013
494	0.3287867477
495	0.3286139413
496	0.3284487473
497	0.3283440441
498	0.3282451902
499	0.3280879237
500	0.3279211899
501	0.3278180677
502	0.3276794539
503	0.3275116863
504	0.3274533594
505	0.3273550928
506	0.3272712162
507	0.3271193791
508	0.32697885
509	0.3269094175
510	0.3268340878
511	0.3266848591
512	0.3264909339
513	0.3264249653
514	0.3263055429
515	0.326208098
516	0.326113963
517	0.3259595281
518	0.3257919913
519	0.3256233153
520	0.3254996269
521	0.3253262051
522	0.3252096884
523	0.3251186889
524	0.325035699
525	0.324955815
526	0.3248204487
527	0.3247168084
528	0.3244989494
529	0.3243394153
530	0.3241313844
531	0.3240046575
532	0.3238650351
533	0.3237607174
534	0.3236678414
535	0.323501711
536	0.3233362948
537	0.3232058346
538	0.3231093052
539	0.3230305618
540	0.322875697
541	0.3227147527
542	0.3225851174
543	0.3224675869
544	0.3223440437
545	0.3222537264
546	0.3220951705
547	0.3219445817
548	0.3218106861
549	0.3216299201
550	0.3215238844
551	0.3213394164
552	0.3212122198
553	0.321075661
554	0.3210218077
555	0.3208891527
556	0.3207104873
557	0.3205826143
558	0.320454433
559	0.3203240573
560	0.3202149743
561	0.3201281141
562	0.3199966546
563	0.3198804241
564	0.3197266843
565	0.3195676046
566	0.3195037593
567	0.3193204586
568	0.3191500692
569	0.3190469519
570	0.3189124904
571	0.3187642981
572	0.3186643578
573	0.3185553358
574	0.3183852932
575	0.3182359955
576	0.3181065346
577	0.3179611394
578	0.3178741135
579	0.3177374253
580	0.3176653465
581	0.3175385389
582	0.3173639578
583	0.3173008978
584	0.3171728142
585	0.3170506392
586	0.3168302855
587	0.3166770301
588	0.3165588479
589	0.316431333
590	0.3163137976
591	0.3161712344
592	0.3160004629
593	0.3157888738
594	0.315624183
595	0.3155209491
596	0.3154003266
597	0.3152217026
598	0.3150640679
599	0.3149578711
600	0.3148072456
601	0.314701968
602	0.3145070559
603	0.3144165382
604	0.3142530227
605	0.3141054921
606	0.3139687385
607	0.3138535806
608	0.3137083602
609	0.3135715473
610	0.313416047
611	0.3132805174
612	0.313110061
613	0.3129233512
614	0.3127532987
615	0.3126463771
616	0.3125307791
617	0.3124175429
618	0.3122649902
619	0.31206993
620	0.311881786
621	0.3117851786
622	0.3116381262
623	0.3114837114
624	0.3113354162
625	0.3112185969
626	0.3110385241
627	0.3109059649
628	0.3107616655
629	0.3106452048
630	0.3105082251
631	0.3103856274
632	0.3102319075
633	0.3100929467
634	0.3099534943
635	0.3098336134
636	0.3097144194
637	0.3095843572
638	0.3094311916
639	0.3092692707
640	0.3091613679
641	0.3090791988
642	0.3090215651
643	0.3089468589
644	0.3087761965
645	0.308633147
646	0.3084233299
647	0.3083474382
648	0.3082511292
649	0.3081517848
650	0.3080258036
651	0.3079081531
652	0.3077632461
653	0.3076904012
654	0.3076274662
655	0.3075033203
656	0.3074049648
657	0.307325769
658	0.3072044485
659	0.3071204817
660	0.3069228504
661	0.3068330126
662	0.3067449918
663	0.3066217204
664	0.3065469318
665	0.3064253408
666	0.3063223934
667	0.3061729718
668	0.3060537564
669	0.3059087928
670	0.305849189
671	0.3057641482
672	0.3056457088
673	0.3055272106
674	0.3053693601
675	0.305225114
676	0.3051308208
677	0.3049886003
678	0.3048366866
679	0.3047251244
680	0.3045355339
681	0.3043742132
682	0.3042792897
683	0.30414012
684	0.3040806024
685	0.3039062454
686	0.3037063252
687	0.3035838769
688	0.3034992537
689	0.3034466225
690	0.3032901958
691	0.3031667713
692	0.3030011032
693	0.3029142426
694	0.3028425559
695	0.3027331568
696	0.3026494728
697	0.3025497887
698	0.3024087117
699	0.3023329364
700	0.3021964422
701	0.3020399481
702	0.3019419579
703	0.3018269711
704	0.3017294367
705	0.3016361822
706	0.3014686692
707	0.3013462747
708	0.3012672234
709	0.3011914832
710	0.3010829135
711	0.301008494
712	0.300937585
713	0.3008510071
714	0.3007130239
715	0.3005825752
716	0.3004203288
717	0.3002686892
718	0.300144131
719	0.3000652222
720	0.2999487273
721	0.2998481791
722	0.2997299577
723	0.2995700225
724	0.299431881
725	0.2993488069
726	0.2992471598
727	0.2991367345
728	0.2990391648
729	0.2989325253
730	0.298790465
731	0.2986783196
732	0.298541871
733	0.2984643363
734	0.2983286275
735	0.2981382582
736	0.2980009702
737	0.2979044357
738	0.2978005716
739	0.2976915361
740	0.2975157935
741	0.2974102462
742	0.2972772634
743	0.2971463355
744	0.2970526981
745	0.296915765
746	0.2967669501
747	0.2966666527
748	0.2965691504
749	0.2963878405
750	0.2962927903
751	0.2962283632
752	0.2961603153
753	0.2960243438
754	0.2959167097
755	0.2958360826
756	0.2957595407
757	0.2956205592
758	0.2954843174
759	0.2954201119
760	0.2953413702
761	0.2952122708
762	0.2951149306
763	0.2949864263
764	0.2948724942
765	0.2947151517
766	0.2945809429
767	0.2945081412
768	0.29438903
769	0.2942719023
770	0.2940820365
771	0.2940141586
772	0.2939116692
773	0.2938078245
774	0.2936238781
775	0.2935293322
776	0.2934254461
777	0.293337465
778	0.2932161291
779	0.2930705145
780	0.292943517
781	0.2928200878
782	0.2927140979
783	0.2926023447
784	0.2924950322
785	0.2923477769
786	0.292229167
787	0.2921103168
788	0.2920032998
789	0.2918336981
790	0.2916615449
791	0.2915413821
792	0.2914120864
793	0.2912685963
794	0.2911392843
795	0.2910386411
796	0.2908836986
797	0.2908243825
798	0.290750565
799	0.2906672648
800	0.2905659315
801	0.2904159383
802	0.290335196
803	0.2902638051
804	0.2902131366
805	0.2901188638
806	0.2900146115
807	0.2898988528
808	0.289803373
809	0.2896905842
810	0.2895311116
811	0.2893612353
812	0.2892364686
813	0.2891147782
814	0.2890098194
815	0.2888967544
816	0.2887853467
817	0.2886841774
818	0.2886288475
819	0.288532432
820	0.288475305
821	0.2883331791
822	0.288258923
823	0.2881999802
824	0.2881598497
825	0.2880681099
826	0.2879819435
827	0.2878096563
828	0.2877047973
829	0.2876545902
830	0.2874949716
831	0.2873625937
832	0.2872670272
833	0.2871979283
834	0.2870962285
835	0.2870098471
836	0.2868566067
837	0.2867625303
838	0.2866662246
839	0.2864628875
840	0.2863761766
841	0.2862815259
842	0.2861976125
843	0.2861088039
